Results for n=10000
0 : 2
1 : 2
2 : 3
3 : 4
4 : 8
5 : 8
6 : 10
7 : 10
8 : 16
9 : 17
10 : 18
11 : 19
12 : 19
13 : 20
14 : 21
15 : 21
16 : 22
17 : 24
18 : 24
19 : 24
20 : 24
21 : 26
22 : 27
23 : 29
24 : 30
25 : 31
26 : 31
27 : 31
28 : 31
29 : 34
30 : 35
31 : 37
32 : 37
33 : 37
34 : 38
35 : 39
36 : 40
37 : 41
38 : 42
39 : 42
40 : 43
41 : 43
42 : 44
43 : 44
44 : 46
45 : 48
46 : 48
47 : 49
48 : 49
49 : 53
9950 : 9956
9951 : 9956
9952 : 9957
9953 : 9957
9954 : 9957
9955 : 9957
9956 : 9958
9957 : 9959
9958 : 9960
9959 : 9961
9960 : 9961
9961 : 9961
9962 : 9962
9963 : 9962
9964 : 9964
9965 : 9966
9966 : 9967
9967 : 9967
9968 : 9970
9969 : 9970
9970 : 9970
9971 : 9972
9972 : 9973
9973 : 9973
9974 : 9975
9975 : 9976
9976 : 9976
9977 : 9979
9978 : 9980
9979 : 9980
9980 : 9981
9981 : 9983
9982 : 9983
9983 : 9985
9984 : 9985
9985 : 9986
9986 : 9986
9987 : 9986
9988 : 9988
9989 : 9988
9990 : 9989
9991 : 9989
9992 : 9989
9993 : 9990
9994 : 9991
9995 : 9992
9996 : 9995
9997 : 9995
9998 : 9997
9999 : 9999
